Client Name,Address,Team,Total Sale,Sale Month,Last Sale Date,Total Payment,Payment Month,Last Payment Date,DUE,Sales Frequency,Payment Freqency,Balance_status,Credit Risk,Days Since Last Collection,Recency Status
Tirhut Point,Paithan Kabai Ward 6,Vijay Jha,1044170,Jan,2026-1-15,741760,Dec,2025-12-10,302410,3,2,Pending,Very High,51,Moderate
Tirhut Watch,Bharwara Naka,Vivek,2117130,Jan,2026-1-25,2020960,Nov,2025-11-21,96170,2,2,Pending,Medium,70,Moderate
Ugna,Mirjapur,Vijay Jha,38700,Jan,2026-1-2,18500,Dec,2025-12-24,20200,1,2,Pending,Low,37,Active
Vatika,Supaul,Vivek,12570,Dec,2025-12-2,5500,Jan,2026-1-22,7070,1,4,Pending,Low,8,Active
Vc Cooler Zahid,Mirjapur,Vijay Jha,65670,Dec,2025-12-29,37000,Jan,2026-1-29,28670,1,4,Pending,Low,1,Active
Vidyapati Connect,Harlakhi Ward 10,Vivek,2218020,Dec,2025-12-21,2002780,Jan,2026-1-21,215240,1,3,Pending,Very High,9,Active
Vidyapati Point,South Urdu Bazar,Tiwari Jee,19720,Dec,2025-12-5,16860,Nov,2025-11-26,2860,6,4,Pending,Low,65,Moderate
Vidyapati Shop,Hospital Road Ward 5,Chandan,12240,Jan,2026-1-27,9860,Nov,2025-11-13,2380,5,1,Pending,Low,78,Inactive
Vidyapati Vision,West Kadirabad,Chandan,2437020,Dec,2025-12-22,2292770,Dec,2025-12-11,144250,5,2,Pending,High,50,Moderate
Vijendra,Babubarhi,Vijay Jha,79700,Jan,2026-1-5,60000,Dec,2025-12-21,19700,2,1,Pending,Low,40,Active
Vikash Care,"Rajnagar, Darbhanga",Vivek,2352800,Dec,2025-12-9,2277100,Nov,2025-11-30,75700,4,3,Pending,Medium,61,Moderate
Vikash Mishra Sales,Benipur Ward 12,Gandhi Jee,1698760,Dec,2025-12-28,1421160,Jan,2026-1-2,277600,2,3,Pending,Very High,28,Active
Vikash Point,Alinagar,Tiwari Jee,2042170,Dec,2025-12-22,1587080,Jan,2026-1-27,455090,3,4,Pending,Critical,3,Active
Vikash Telecom,Bisfi Ward 7,Gandhi Jee,1232910,Dec,2025-12-28,1031230,Jan,2026-1-2,201680,6,4,Pending,Very High,28,Active
Vinayak Agency Agency,"Mirzapur, Darbhanga",Vivek,20220,Jan,2026-1-22,16750,Dec,2025-12-31,3470,4,2,Pending,Low,30,Active
Vivek Communication,Tardih,Vijay Jha,78790,Jan,2026-1-16,24000,Dec,2025-12-4,54790,2,1,Pending,Medium,57,Moderate
